Product Name,Brand,Product Type,Product Code,Product Details,Category,Lowest Price,Highest Price,10ml Price,15ml Price,30ml Price,50ml Price,60ml Price,75ml Price,90ml Price,100ml Price,125ml Price,150ml Price,200ml Price,400ml Price,800ml Price
Lempicka Homme Eau de Toilette,Lolita Lempicka,Eau de Toilette,102473,Woody aromatic fragrance for men,Men's Perfume,€38.64,€75.00,No Pricing data,No Pricing data,No Pricing data,€38.64,No Pricing data,No Pricing data,No Pricing data,€75.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Fuel For Life Eau de Toilette,Diesel,Eau de Toilette,118246,Energetic fragrance for men,Men's Perfume,€29.28,€65.00,No Pricing data,No Pricing data,No Pricing data,€29.28,No Pricing data,€45.00,No Pricing data,€65.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Amor Amor Eau de Toilette,Cacharel,Eau de Toilette,157,Fruity floral fragrance for women,Women's Perfume,€29.40,€60.00,No Pricing data,No Pricing data,€29.40,€45.00,No Pricing data,No Pricing data,No Pricing data,€60.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Azzaro pour Homme Eau de Toilette,Azzaro,Eau de Toilette,5961,Classic aromatic fougere fragrance for men,Men's Perfume,€38.25,€70.00,No Pricing data,No Pricing data,No Pricing data,€38.25,No Pricing data,No Pricing data,No Pricing data,€70.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Noa Eau de Toilette,Cacharel,Eau de Toilette,1882,Soft floral musk fragrance for women,Women's Perfume,€34.20,€65.00,No Pricing data,No Pricing data,€34.20,€50.00,No Pricing data,No Pricing data,No Pricing data,€65.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Chantal Thomass Pink Eau de Parfum,Chantal Thomass,Eau de Parfum,97752,Feminine floral fragrance,Women's Perfume,€18.00,€45.00,No Pricing data,No Pricing data,No Pricing data,€18.00,No Pricing data,No Pricing data,No Pricing data,€45.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Cabotine Eau de Parfum,Grès,Eau de Parfum,515,Classic green floral fragrance for women,Women's Perfume,€23.19,€55.00,No Pricing data,No Pricing data,No Pricing data,€23.19,No Pricing data,No Pricing data,No Pricing data,€55.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Eden Eau de Parfum,Cacharel,Eau de Parfum,883,Exotic floral oriental fragrance for women,Women's Perfume,€37.62,€70.00,No Pricing data,No Pricing data,No Pricing data,€37.62,No Pricing data,No Pricing data,No Pricing data,€70.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Cerruti 1881 pour Femme Eau de Toilette,Cerruti,Eau de Toilette,546,Fresh floral fragrance for women,Women's Perfume,€22.00,€50.00,No Pricing data,No Pricing data,No Pricing data,€22.00,No Pricing data,No Pricing data,No Pricing data,€50.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Amethyst Eau de Parfum,Lalique,Eau de Parfum,143,Fruity floral fragrance for women,Women's Perfume,€43.52,€85.00,No Pricing data,No Pricing data,No Pricing data,€43.52,No Pricing data,No Pricing data,No Pricing data,€85.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Anaïs Anaïs L'Original Eau de Toilette,Cacharel,Eau de Toilette,183,Classic white floral fragrance for women,Women's Perfume,€34.20,€65.00,No Pricing data,No Pricing data,€34.20,€50.00,No Pricing data,No Pricing data,No Pricing data,€65.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Arpège Eau de Parfum,Lanvin,Eau de Parfum,279,Classic aldehydic floral fragrance for women,Women's Perfume,€39.00,€75.00,No Pricing data,No Pricing data,No Pricing data,€39.00,No Pricing data,No Pricing data,No Pricing data,€75.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Black Soul Eau de Toilette,Ted Lapidus,Eau de Toilette,381,Oriental spicy fragrance for men,Men's Perfume,€23.42,€55.00,No Pricing data,No Pricing data,No Pricing data,€23.42,No Pricing data,No Pricing data,No Pricing data,€55.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Bogart pour Homme Eau de Toilette,Jacques Bogart,Eau de Toilette,417,Classic aromatic fragrance for men,Men's Perfume,€28.49,€60.00,No Pricing data,No Pricing data,No Pricing data,€28.49,No Pricing data,No Pricing data,No Pricing data,€60.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Cabotine Eau de Toilette,Grès,Eau de Toilette,513,Lighter version of the classic Cabotine fragrance,Women's Perfume,€20.03,€50.00,No Pricing data,No Pricing data,No Pricing data,€20.03,No Pricing data,No Pricing data,No Pricing data,€50.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Cerruti 1881 pour Homme Eau de Toilette,Cerruti,Eau de Toilette,553,Woody aromatic fragrance for men,Men's Perfume,€28.80,€60.00,No Pricing data,No Pricing data,No Pricing data,€28.80,No Pricing data,No Pricing data,No Pricing data,€60.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Ck One Eau de Toilette,Calvin Klein,Eau de Toilette,638,Classic citrus aromatic unisex fragrance,Unisex Perfume,€38.58,€75.00,No Pricing data,No Pricing data,No Pricing data,€38.58,No Pricing data,No Pricing data,No Pricing data,€75.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Eau Fraîche Léonard Eau de Toilette,Léonard,Eau de Toilette,863,Fresh floral fragrance for women,Women's Perfume,€29.44,€60.00,No Pricing data,No Pricing data,No Pricing data,€29.44,No Pricing data,No Pricing data,No Pricing data,€60.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Escape Eau de Parfum,Calvin Klein,Eau de Parfum,910,Oriental fruity fragrance for women,Women's Perfume,€19.48,€50.00,No Pricing data,No Pricing data,No Pricing data,€19.48,No Pricing data,No Pricing data,No Pricing data,€50.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Eternity Eau de Parfum,Calvin Klein,Eau de Parfum,918,Classic floral fragrance for women,Women's Perfume,€61.92,€95.00,No Pricing data,No Pricing data,No Pricing data,€61.92,No Pricing data,No Pricing data,No Pricing data,€95.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Jacomo de Jacomo Eau de Toilette,Jacomo,Eau de Toilette,1329,Aromatic fougere fragrance for men,Men's Perfume,€39.87,€75.00,No Pricing data,No Pricing data,No Pricing data,€39.87,No Pricing data,No Pricing data,No Pricing data,€75.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Terre d'Hermès Eau de Toilette,Hermès,Eau de Toilette,29199,Woody citrus fragrance for men,Men's Perfume,€52.65,€110.00,No Pricing data,No Pricing data,No Pricing data,€52.65,No Pricing data,No Pricing data,No Pricing data,€85.00,No Pricing data,€110.00,No Pricing data,No Pricing data,No Pricing data
L'Interdit Eau de Parfum,Givenchy,Eau de Parfum,96399,Modern white floral fragrance for women,Women's Perfume,€53.80,€115.00,No Pricing data,No Pricing data,No Pricing data,€53.80,No Pricing data,€85.00,No Pricing data,€115.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Le Male Eau de Toilette,Jean Paul Gaultier,Eau de Toilette,82643,"Oriental fougere fragrance for men with notes of mint, lavender, vanilla and woods",Men's Perfume,€44.98,€95.00,No Pricing data,No Pricing data,No Pricing data,€44.98,No Pricing data,€70.00,No Pricing data,€95.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
La Vie Est Belle Eau de Parfum,Lancôme,Eau de Parfum,49930,"Gourmand iris fragrance for women with notes of Iris Pallida, Gourmand Accord, Orange Blossom Absolute, and Jasmine Sambac",Women's Perfume,€50.08,€140.54,No Pricing data,No Pricing data,€50.08,€74.05,No Pricing data,€88.45,No Pricing data,€102.85,No Pricing data,€140.54,No Pricing data,No Pricing data,No Pricing data
La Petite Robe Noire Eau de Parfum,Guerlain,Eau de Parfum,28589,Fruity gourmand fragrance for women,Women's Perfume,€52.92,€110.00,No Pricing data,No Pricing data,No Pricing data,€52.92,No Pricing data,€80.00,No Pricing data,€110.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Shalimar Eau de Parfum,Guerlain,Eau de Parfum,28577,Classic oriental vanilla fragrance for women,Women's Perfume,€52.92,€115.00,No Pricing data,No Pricing data,No Pricing data,€52.92,No Pricing data,€85.00,No Pricing data,€115.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
1 Million Eau de Toilette,Paco Rabanne,Eau de Toilette,55,"Spicy leather fragrance for men with notes of grapefruit, peppermint, blood mandarin, cinnamon, spices, rose absolute, amber, patchouli, white woods, and blond leather",Men's Perfume,€57.83,€110.00,No Pricing data,No Pricing data,No Pricing data,€57.83,No Pricing data,€85.00,No Pricing data,€110.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Pure Musc Eau de Parfum,Narciso Rodriguez,Eau de Parfum,100338,"Musky floral fragrance for women with notes of amber, patchouli, and cashmeran",Women's Perfume,€48.56,€105.00,No Pricing data,No Pricing data,No Pricing data,€48.56,No Pricing data,€75.00,No Pricing data,€105.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
For Her Eau de Parfum,Narciso Rodriguez,Eau de Parfum,1037,"Elegant, sensual, mysterious and voluptuous fragrance with floral-fruity, amber, and woody facets",Women's Perfume,€48.56,€103.21,No Pricing data,No Pricing data,€48.56,€70.70,No Pricing data,No Pricing data,No Pricing data,€94.06,No Pricing data,€103.21,No Pricing data,No Pricing data,No Pricing data
Miss Dior Eau de Parfum,Dior,Eau de Parfum,124764,Modern chypre floral fragrance for women,Women's Perfume,€59.50,€125.00,No Pricing data,No Pricing data,No Pricing data,€59.50,No Pricing data,€85.00,No Pricing data,€125.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Dior Homme Eau de Toilette,Dior,Eau de Toilette,109238,Iris-based fragrance for men,Men's Perfume,€64.60,€120.00,No Pricing data,No Pricing data,No Pricing data,€64.60,No Pricing data,€85.00,No Pricing data,€120.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Irresistible Eau de Parfum,Givenchy,Eau de Parfum,110992,Fruity floral fragrance for women,Women's Perfume,€53.80,€115.00,No Pricing data,No Pricing data,No Pricing data,€53.80,No Pricing data,€85.00,No Pricing data,€115.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
